1,aras mhuire nursing unit,6821470,,amnh@eircom.net,,7 dublin road,pallative care 12b,,tuam,galway,ireland,,,01/01/2000,trade
2,adult centre,,,,,72 ballymena road,bt40 2sg,,larne,antrim,ireland,,residential home,01/01/2000,trade
3,advance maintenance ltd,,,,,mirabell,dunkathel,glanmire,cork,,ireland,,,01/01/2000,trade
4,aiglish national school,,,,,,,,nenagh,tipperary,ireland,,education,01/01/2000,trade
5,ailbhe national school,,,reception@scoilailbhe.ie,,,,,thurles,tipperary,ireland,,,19/01/2016,trade
6,an sli,,,,,bellewsbridge road,toberona,,dundalk,louth,ireland,,,01/01/2000,trade
7,angle day care center,0749532658,0879263327,,,gweedore rd,,,dungloe,donegal,ireland,,,01/01/2000,trade
8,aquired brain injury ireland,,,dtobin@abiireland.ie,,teach failte,mount bonus,,tullamore,offaly,ireland,,,01/01/2000,trade
9,aras an phobail,0872059539,,mairead@twrc.ie,,croilar an mistealach,boherbee,,tralee,kerry,ireland,,school,02/02/2016,trade
10,aras chuchulain,0749157393,,mairead@twrc.ie,,resource centre,,,manorcunningham,donegal,ireland,,residential home,01/01/2000,trade
11,aras ghaoth dobhair nursing home,0749560624,0876365473,efriel@arasgaothdohair.ie,749560931,meenanillar,,,derrybeg,donegal,ireland,,nursing home,01/01/2000,trade
12,aras mhuire nursing unit,,,amnh@eircom.net,,7 dublin road,pallative care 12a,,tuam,galway,ireland,,,01/01/2000,trade
13,ardfert national school,0667134289,0861607421,ardfertns.ias@eircom.net,,,,,ardfert,kerry,ireland,,,01/01/2000,trade
14,athboy community school,0469487894,,aleavy@athboycs.ie,,,,,athboy,meath,ireland,,,01/01/2000,trade
15,athlone primary care centre,0906424840,,annenaughton@hse.ie,,,,,athlone,westmeath,ireland,,,01/01/2000,trade
16,aura leitrim leisure,0719671771,,jscott@auragroup.ie,,attfinlay,,,carrick-on-shannon,leitrim,ireland,,,01/01/2000,trade
17,ballinasloe community nursing unit,,0863816700,bernie.austin@hse.ie,,assisted bathroom ground floor,,,ballinasloe,galway,ireland,,,01/01/2000,trade
18,ballinsloe community nursing unit,,0863816700,bernie.austin@hse.ie,,room no. 23 ground floor,,,ballinasloe,galway,ireland,,,01/01/2000,trade
19,balltinglass district hospital,0596481255,,carol.gannon@hse.ie,,room 157,,,baltinglass,wicklow,ireland,,,01/01/2000,trade
20,ballycar national school,,,,,newmarket on fergus,,,ballycar,clare,ireland,,education,01/01/2000,trade
21,ballyfermot primary health centre,,,,,cherry orchard,,,ballyfermot,dublin,ireland,,,01/01/2000,trade
22,baltinglass district hospital,0596481255,0872040499,carol.gannon@hse.ie,,baltinglass,room 96,,baltinglass,wicklow,ireland,,hospital,01/01/2000,trade
23,baltydaniel n.s. mallow,,0872310075,,,,,,newtwopothouse,cork,ireland,,,01/01/2000,trade
24,baltydaniel national school,,,,,newtwopothouse,,,mallow,cork,ireland,,,01/01/2000,trade
25,bantry general hospital,,,,,,,,bantry,cork,ireland,,,01/01/2000,trade
26,beara comm. school,,,beara2@eircom.net,,,,,castletownbere,cork,ireland,,education,01/01/2000,trade
27,beaumont residential care ltd.,0214292195,,,,woodvale rd,ballintemple,,cork,cork,ireland,,residential home,01/01/2000,trade
28,bedroom,0879907126,,,,7 cois carraig,,,clarina,limerick,ireland,,private house,29/06/2016,private
29,beech haven residential,0539235298,,,,black stopps,,,enniscorthy,wexford,ireland,,,01/01/2000,trade
30,belvilla community unit,,,,,room 15,129 south circular road,,south circular road,dublin,ireland,,,01/01/2000,trade
31,bishop o'brien national school,,,,,bartelmy,,,fermoy,cork,ireland,,,01/01/2000,trade
32,bonseoviors convent,,,,,st. anne's,carriglea,,dungarvan,waterford,ireland,,,01/01/2000,trade
33,borrisokane community college,,,,,,,,borrisokane,tipperary,ireland,,,01/01/2000,trade
34,bray town council,,,braymd@wicklowcoco.ie,,st. rita's,upper dargle road,apt 1 green park rd,bray,wicklow,ireland,,,01/01/2000,trade
35,bray urban district council,,,braymd@wicklowcoco.ie,,37 hazelwood,fassnore rd,,bray,wicklow,ireland,,,01/01/2000,trade
36,breffni care center,0499525520,,ann.gaffeny@hse.ie,499525546,community service,room 18,,ballyconnell,cavan,ireland,,care center,01/01/2000,trade
37,brookhaven nursing home,0568830777,0872584952,,,dounoughmore,,,ballyragget,kilkenny,ireland,,residential home,01/01/2000,trade
41,bun scoil na toirbirte,,,bunscoilnatoirbhirte@gmail.com,,,,,mitchelstown,cork,ireland,,,01/01/2000,trade
42,camphill,0567725114,,brahim.camphill@camphill.ie,,coolagh,ard lui house,,callan,kilkenny,ireland,,care centre,01/01/2000,trade
44,carlow co co,,,,,shrougan no. 31,,,tullow,carlow,ireland,,,01/01/2000,trade
45,carlow county council,0599136251,,sgallagher@carlowcoco.ie,,for: 1 pairc gleann na bearu,bagenalstown,,,carlow,ireland,,private house,01/01/2000,private
46,carrick-on-shannon community school,0719620880,,,719621703,,,,carrick-on-shannon,leitrim,ireland,,school,01/01/2000,trade
47,carrignabhfear national school,0214884509,0876176680,,,carrignabhfear,,,mallow,cork,ireland,,school,01/01/2000,trade
48,castlepollard community school,0449661163,,,,,,,castlepollard,westmeath,ireland,,education,01/01/2000,trade
49,castletownbere community hospital,,,,,,,,castletownbere,cork,ireland,,,01/01/2000,trade
50,cbc secondary school,,,principal@cbsthurles.ie,,o donovan rossa street,,,thurles,tipperary,ireland,,,01/01/2000,trade
51,ceathru caol national school,0749150169,,,,,,(close to lifford),kerrykeel,donegal,ireland,,education,01/01/2000,trade
52,chapel road hostel,0749521777,,,,chapel road,,,dungloe,donegal,ireland,,,01/01/2000,trade
53,charter medical group,,0872773097,ksanderson@chartermedical.ie,,the forge,smithfield market,smithfield,dublin 7,dublin,ireland,,care centre,01/01/2000,trade
54,cheeverstown house ltd,,,,14905753,templeogue,,,dublin 6w,dublin,ireland,,,01/01/2000,trade
55,cherry orchard hospital,,,liz.carey@hse.ie,,ballyfermot,,,dublin 10,,ireland,,,01/01/2000,trade
56,cheshire homes,0214822192,,,,lota,,,cork,cork,ireland,,residential home,01/01/2000,trade
57,child & family centre,,,,,,ardnagennha,,bantry,cork,ireland,,co - action,01/01/2000,trade
58,cillaoibhinn group home,,,,,killynard,,,donegal town,donegal,ireland,,residential home,01/01/2000,trade
59,clare county council,0656846206,,bboyce@clarecoco.ie,,30 westbourne court,watery road (john mcguire),,ennis,clare,ireland,,,01/01/2000,trade
60,cloghroe national school,0214385547,,oifig@cloghroens.ie,,bathroom,,,cloghroe,cork,ireland,,riding school,01/01/2000,trade
61,clonbrusk resource center,,,,,coosan road,,,athlone,westmeath,ireland,,,01/01/2000,trade
62,clonmoney national school,,,,,,,,newmarket on fergus,clare,ireland,,education,01/01/2000,trade
63,clonskeagh c.n.u,,,,,room 012,"block a, ground floor",,clonskeagh,dublin,ireland,,,01/01/2000,trade
64,cnu ballincollig,0214620600,,managerballincollig@mowlamhealthcare.com,,top floor,,,ballincollig,cork,ireland,,,01/01/2000,trade
65,cnu farranlea,,,,,,,,farranlea,cork,ireland,,,01/01/2000,trade
66,co-action,,,ceo@co-action.ie,,bathroom,,,bantry,cork,ireland,,,01/01/2000,trade
67,colaiste na coiribe,,,sinead.seoighe@gretb.ie,,tuam road,,,galway,galway,ireland,,,01/01/2000,trade
68,colaiste na trocaire,,,mercycc@eircom.net,,mercy community college,,,rathkeale,limerick,ireland,,school,01/01/2000,trade
69,colaiste pobail bheanntrai,,,admin@colaistepobailbheanntrai.com,,seskin,,,bantry,cork,ireland,,,01/01/2000,trade
70,college gardens (kashma),0567763211,0866016365,codriscoll@soskilkenny.ie,567764000,ingrid brennan,college gardens,callan road,kilkenny,kilkenny,ireland,,,29/07/2015,trade
71,college of commerce,0214255500,0868613806,,214314681,morrisons island,,,cork,cork,ireland,,school,01/01/2000,trade
72,coloiste na toirbhirte bandon,,,,,,,,bandon,cork,ireland,,education,01/01/2000,trade
73,community hospital of the assumption,,,,,,,,thurles,tipperary,ireland,,hospital,01/01/2000,trade
74,community services store,0749521044,,sue.islam@hse.ie,,hse west - unit 3,lisnennan,,letterkenny,donegal,ireland,,,01/01/2000,trade
75,convent primary school,0719667171,,,,,,,boyle,roscommon,ireland,,,01/01/2000,trade
76,cope foundation,0214891472,0862592101,byrnem@cope-foundation.ie,,scartagh,,,clonakilty,cork,ireland,,health sector,01/01/2000,trade
77,cope foundation - duplicate,0214891472,0862592101,byrnem@cope-foundation.ie,,scartagh,,,clonakilty,cork,ireland,,health sector,01/01/2000,trade
78,cork college of commerce,,,,,morrisons island,south terrace,,cork,cork,ireland,,,01/01/2000,trade
79,crana college,0749361113,,,,crana road,,,buncrana,donegal,ireland,,education,01/01/2000,trade
80,crc waterford,,,lhartrey@crc.ie,,waterford regional hospital,waterford community services,cork road,waterford,waterford,ireland,,care centre,01/01/2000,trade
81,crescent comprehensive college,,,cresentfinance@gmail.com,,dooradoyle,,,limerick,,ireland,,,01/01/2000,trade
82,crowhill,,0861572013,,,ballinoosky,,,newmarket on fergus,clare,ireland,,,01/01/2000,trade
83,cuanannie day services,0749125624,,georgina.mccudden@hse.ie,,,ballyraine industrial estate,,letterkenny,donegal,ireland,,hospital,01/01/2000,trade
84,cuh cork - ward 5b,0214922000,,mourice.oriordan@hse.ie,,5th floor,wilton,,cork,cork,ireland,,,24/11/2015,trade
85,cuil aodha national,,,cuilaodhans@eircom.net,,cuil aodha,macroom,,macroom,cork,ireland,,,01/01/2000,trade
86,dalkey community unit,,,siobhan.turner@hse.ie,,kilbegnet close,,,dalkey,dublin,ireland,,care centre,01/01/2000,trade
87,daughters of charity,0615014431,,oonagh.magner@lim-docservice.ie,,the rivers,sejare house,,annacotty,limerick,ireland,,residential home,01/01/2000,trade
88,daughter's of charity,,,,,st. vincent's -,navan road,caoimhir-marie murphy,dublin 7,,ireland,,,01/01/2000,trade
89,daughters of charity clonsilla,0529233419,,tom.sullivan@hse.ie,,st josephs,clonsilla,,dublin,,ireland,,,01/01/2000,trade
90,daughters of charity-st vincent's,,,,,grainne o'connor c/o caoimhin,navan road,,dublin 22,dublin,ireland,,,01/01/2000,trade
91,dawn house,0539233419,,,,sjog,,,enniscorthy,wexford,ireland,,residential home,13/01/2017,trade
92,dawn house,0529233419,,tom.sullivan@hse.ie,,sjog,,,wexford,wexford,ireland,,care centre,01/01/2000,trade
93,day resource unit,,0872223330,,,bree,,,castleblaney,monaghan,ireland,,,01/01/2000,trade
94,dean maxwell community nursing unit,,,liam.carson@hse.ie,,the valley,,,roscrea,tipperary,ireland,,hospital,01/01/2000,trade
95,dean maxwell house,,,liam.carson@hse.ie,,,,,roscrea,tipperary,ireland,,residential home,01/01/2000,trade
96,deidre courtney,0667134289,,,,,,,ardfert,kerry,ireland,,private house,19/08/2016,private
97,denray construction ltd,,,,,5 beauliew view,,,drogheda,louth,ireland,,,01/01/2000,trade
98,department of agriculture,,,,,,kildare street,,dublin 2,,ireland,,,01/01/2000,trade
99,derg center,,,mmoloney@mwhb.ie,6741357,gortlandroe,,,nenagh,tipperary,ireland,,health sector,01/01/2000,trade
100,derrane resource centre,0906625852,,mbourkersg@eircom.net,,,derrane resource centre,,derrane,roscommon,ireland,,residential home,01/01/2000,trade
101,derrybeg national school,0906625852,,mbourkersg@eircom.net,,,,,derrybeg,donegal,ireland,,,01/01/2000,trade
102,dingle community nursing unit,0669151455,,deirdre.kuaid@hse.ie,,,,,dingle,kerry,ireland,,,01/01/2000,trade
103,disability services,,0872486745,eimear.goulding@hse.ie,,south west wing,st josephs hospital,limerick,limerick,limerick,ireland,,private house,01/01/2000,trade
104,disablity service,0469073285,,,,commons road,,,navan,meath,ireland,,health sector,01/01/2000,trade
105,do not use - duplicate,,,,,oakvale,bungalow b room 6,,youghal,cork,ireland,,,07/08/2015,trade
106,do not use- duplicate,,,,,oakvale e,,,youghal,cork,ireland,,care centre,01/01/2000,trade
107,doc st vincents centre,,,purchasing.stvin@docservice.ie,,navan road,(for anna gill - caoimhin),,dublin,dublin,ireland,,nursing home,26/11/2016,trade
108,drakelands nursing home,,,,,,,,kilkenny,kilkenny,ireland,,,01/01/2000,trade
109,dromclough n.s.,,,Dromc@eircom.net,,listowel,,,listowel,kerry,ireland,,,01/01/2000,trade
110,drumfries national school,0749363396,,drumfriesschool.ias@eircom.net,,,,,drumfries,donegal,ireland,,school,01/01/2000,trade
111,dubhras national school,0916386454,,,,cinn mhara,,,galway,galway,ireland,,school,01/01/2000,trade
